관리번호,발명의 명칭(가제),발명의 명칭(최종),관련사업 분야,관련기술 분야,관련제품,출원국,공동출원여부,공동출원인명,상태,출원일,등록일,출원번호,등록번호,예상 소멸일
P202210003-KR0,안정적이고 효율적인 블록체인 서비스를 위한 다중 스마트 컨트랙트 환경 구성 및 데이터 접근 방안,안정적이고 효율적인 블록체인 서비스를 위한 다중 스마트 컨트랙트 배포 및 운영 시스템,Blockchain,Blockchain,ChainZ,KR,N,,등록,2023-01-11,2024-11-04,10-2023-0003811,10-2727220,2043-01-11
P202210002-KR0,전송 실패한 메시지에 대한 이력 추적 및 사후 재 전송 기능,메시지 지향 미들웨어에서의 전송 실패한 메시지에 대한 이력 추적 및 사후 재전송이 가능한 메시지 전송 방법 및 시스템,제조,솔루션,I-FACTs DiFlow,KR,N,,등록,2022-12-21,2025-09-25,10-2022-0180301,10-2866646,2042-12-21
P202210001-KR0,토폴로지 기반의 시스템 상태 및 병목 구간 모니터링 기능,메시지 지향 미들웨어에서의 토폴로지 기반 시스템 상태 및 병목 구간 모니터링 방법 및 시스템,제조,솔루션,I-FACTs DiFlow,KR,N,,등록,2022-12-21,2025-11-25,10-2022-0180291,10-2893083,2042-12-21
P202209005-KR0,작업 현장에서의 사고/재해 SOS 서비스 지원 방법,작업 현장에서의 구조 요청 서비스 지원 방법 및 시스템,통신,데이터분석,건설 현장 안전관리 플랫폼（SEP）,KR,N,"박성태, 이준섭",등록,2022-11-02,2025-05-28,10-2022-0144214,10-2815706,2042-11-02
P202209004-KR0,현장 근로자 참여가 가능한 안점점검 시스템,현장 근로자의 참여가 가능한 안전점검 시스템 및 방법,통신,데이터분석,건설 현장 안전관리 플랫폼（SEP）,KR,N,"박성태, 이준섭, 강지현",등록,2022-11-02,2025-08-11,10-2022-0144212,10-2846340,2042-11-02
P202209003-KR0,작업 현장의 위험성평가/작업허가를 통한 안전관리 시스템,작업 현장에서의 위험성 평가 회의 및 작업 허가 절차를 통한 안전관리 시스템 및 방법,통신,데이터분석,건설 현장 안전관리 플랫폼（SEP）,KR,N,"박성태, 이준섭, 강지현",등록,2022-11-02,2026-01-06,10-2022-0144207,10-2910717,2042-11-02
P202209002-KR0,safety score 기반 근로자 구인구직 공고 시스템,안전 점수 기반 근로자 구인 공고 시스템 및 방법,통신,데이터분석,건설 현장 안전관리 플랫폼 （SEP）,KR,N,"박성태, 이준섭, 문경민",등록,2022-11-02,2025-03-26,10-2022-0144203,10-2789057,2042-11-02
P202209001-KR0,safety score 기반 근로자 정보 관리 시스템 및 방법,안전 점수 기반 근로자 정보 관리 시스템 및 방법,통신,데이터분석,건설 현장 안전관리 플랫폼,KR,N,,등록,2022-11-02,2025-11-25,10-2022-0144193,10-2893065,2042-11-02
P202207006-KR0,무인운반차량（AGV）에 의한 용기이동시 내부 독성 액상 물질의 흔들림 최소화 시스템,무인반송차량을 이용한 독성 물질의 운송 시스템 및 방법,제조,물류,"NF3 오버홀 Cell 운반, AGV",KR,Y,제닉스 주식회사,등록,2022-11-23,2025-07-23,10-2022-0158313,10-2839200,2042-11-23
P202207005-KR0,CELL Body내 이물질을 분쇄 및 클린공정을 거친 뒤 바닥에 침체된 니켈을 정해진 호스로 배출하는 장치,NF3 가스 생산 설비 내 이물질 제거 시스템 및 방법,제조,NF3 생산 공정 장비,NF3 Cell 오버홀,KR,Y,주식회사 한주반도체,등록,2022-11-11,2025-01-24,10-2022-0150099,10-2762042,2042-11-11
P202207004-KR0,"CELL 메인상판 및 개별상판 분리, 세척 및 조립 자동화",NF3 가스 생산 설비의 정비 자동화 시스템 및 방법,제조,NF3 생산 공정 장비,NF3 Cell 오버홀,KR,Y,주식회사 한주반도체,등록,2022-11-11,2025-01-24,10-2022-0150081,10-2762038,2042-11-11
P202207002-KR0,STT 및 NLP를 활용한 오디오북 낭독 오류 자동 검출 시스템,STT엔진 및 NLP를 활용한 오디오북 낭독 오류 자동 검출 시스템 및 방법,통신,"STT, NLP",해당사항없음,KR,N,,등록,2022-10-18,2025-11-25,10-2022-0134195,10-2893064,2042-10-18
P202207001-KR3,문서를 웹으로 변환하여 Workflow에 맞춰  업무 프로세스를 진행할 수 있는 모델 （OCR 영역 지정）,문서 이미지에서 문서 양식을 추출하는 방법 및 시스템,제조,솔루션,BizzN（비즈앤）,KR,N,,등록,2022-09-30,2023-08-24,10-2022-0124850,10-2572130,2042-09-30
P202207001-KR2,문서를 웹으로 변환하여 Workflow에 맞춰  업무 프로세스를 진행할 수 있는 모델 （워크플로우 문서 매칭）,맞춤형 업무 프로세스 진행을 위한 웹 문서 매칭형 워크 플로우 관리 방법 및 시스템,제조,솔루션,문서변환 SW,KR,N,,등록,2022-09-30,2023-12-11,10-2022-0124849,10-2614043,2042-09-30
P202207001-KR1,문서를 웹으로 변환하여 Workflow에 맞춰  업무 프로세스를 진행할 수 있는 모델 （레포트 드래그 앤 드롭 입력）,드래그 앤 드롭 입력 방식을 적용하여 웹 문서를 생성하는 방법 및 시스템,제조,솔루션,문서변환 SW,KR,N,,등록,2022-09-30,2023-09-19,10-2022-0124840,10-2581936,2042-09-30
P202207001-KR0,문서를 웹으로 변환하여 Workflow에 맞춰  업무 프로세스를 진행할 수 있는 모델 （웹폼+양식）,문서 양식을 웹폼으로 변환하는 방법 및 시스템,제조,솔루션,문서변환 SW,KR,N,,등록,2022-09-30,2023-07-11,10-2022-0124832,10-2555809,2042-09-30
P202202001-KR0,반도체 소재 개발 관련 유효 후보물질 스크리닝 기술,반도체 소재 개발 관련 후보물질 물성예측 시스템 및 방법,Data,데이터분석,MatSQ （계산화학Simulation tool）,KR,N,,등록,2022-07-19,2025-07-23,10-2022-0088684,10-2839217,2042-07-19
P202201001-KR0,ESG 경영관리 플랫폼 （Click ESG）,ESG 경영관리 플랫폼 운영 시스템 및 방법,ESG,ESG,Click ESG,KR,N,,등록,2022-06-10,2025-05-27,10-2022-0070827,10-2815497,2042-06-10
P202112002-KR0,네트워크 모듈형 이중화 패치 시스템 및 그방법,네트워크 이중화 전자 패치 장치,제조,Network,패치이중화솔루션,KR,N,,등록,2022-04-20,2024-02-27,10-2022-0049064,10-2643048,2042-04-20
P202111009-KR0,디지털 트윈 기반의 태양광 및 수소연료전지 시스템 제어 장치 및 방법,태양광 및 수소연료전지 하이브리드 발전 시스템 제어 장치 및 방법,제조,Green IT （EMS）,"RE100플랫폼, 분산발전 솔루션 등",KR,Y,SK（주）:창원대학교 지분율 （50:50）,등록,2021-12-29,2024-12-12,10-2021-0191287,10-2743659,2041-12-29
P202111006-KR0,결과의 시각화 구현기술,인공지능 모델 기반 금융시장 예측 정보 제공 방법 및 시스템,금융/전략,AI/Bigdata,MarketCaster,KR,N,,등록,2022-03-03,2024-08-01,10-2022-0027287,10-2692497,2042-03-03
P202111005-KR0,시장 설명 이벤트 추출 알고리즘,시장 설명 이벤트 추출 방법 및 시스템,금융/전략,AI/Bigdata,MarketCaster,KR,N,,등록,2022-03-03,2025-01-09,10-2022-0027280,10-2754746,2042-03-03
P202111004-KR0,시장예측,예측 근거를 함께 제시하는 인공지능 모델 기반 금융시장 예측 방법 및 시스템,금융/전략,AI/Bigdata,MarketCaster,KR,N,,등록,2022-03-03,2024-11-29,10-2022-0027272,10-2737902,2042-03-03
P202111003-KR0,딥러닝모델학습 알고리즘,인공지능 모델을 활용한 금융시장 데이터 예측 방법 및 시스템,금융/전략,AI/Bigdata,MarketCaster,KR,N,,등록,2022-03-03,2024-11-26,10-2022-0027510,10-2736411,2042-03-03
P202111002-KR0,비정형분석 알고리즘,주식 시장 예측을 위한 비정형 데이터 분석 방법 및 시스템,금융/전략,AI/Bigdata,MarketCaster,KR,N,,등록,2022-03-03,2025-01-08,10-2022-0027266,10-2753879,2042-03-03
P202111001-KR0,데이터 전처리기술,이상치 제거를 위한 금융시장 데이터 처리 방법 및 시스템,금융/전략,AI/Bigdata,MarketCaster,KR,N,,등록,2022-03-03,2024-07-16,10-2022-0027497,10-2686678,2042-03-03
P202110004-KR0,시스템 관리 방법,모델 서버 스케일링을 제어하는 AI 모델 운영 장치 및 방법,Data,시스템 운영,AccuInsight+ Runtime,KR,N,,등록,2021-11-19,2024-07-15,10-2021-0160244,10-2686249,2041-11-19
P202110002-KR0,단일 Endpoint 제공 방법,단일 엔드포인트를 이용한 AI 모델 운영 장치 및 방법,Data,솔루션,AccuInsight+ Runtime,KR,N,,등록,2021-11-19,2024-04-29,10-2021-0160178,10-2663094,2041-11-19
P202110001-KR0,AI 모델 등록/배포 방법,AI 모델 서빙 시스템 및 방법,Data,솔루션,AccuInsight+ Runtime,KR,N,,등록,2021-11-09,2024-01-03,10-2021-0153158,10-2622170,2041-11-09
P202107006-KR0,디지털콘텐츠 유통플랫폼 특허 신청 관련,보이스 스타일 분석 및 품질 자동 검수 기능을 제공하는 오디오북 제작 시스템 및 방법,AI,"Audio AI （TTS, Voice Analyzer）",해당 사항 없음,KR,N,,등록,2021-11-18,2025-06-27,10-2021-0158983,10-2828428,2041-11-18
P202107004-KR0,증강현실기반 건설현장 정합성 검측을 위한 '이동식 다중 3D Marker'개발,이동식 다중 3D 마커 및 이를 이용한 증강현실 기반 현장 정합성 검측 시스템,제조,AR,SKhy프로젝트:AR 검수 System Pilot 구축,KR,Y,박상현 TL （SK 하이닉스 주식회사）,등록,2021-12-07,2025-01-21,10-2021-0173638,10-2759752,2041-12-07
P202107003-KR0,이동경로 분석을 위한 통신데이터의 효과적인 정보추출 방법,이동경로 분석을 위한 통신데이터의 효과적인 정보추출 방법,통신,이동통신서비스,데이터 처리 방법론,KR,Y,"강현구 박사（SKT）, 최수범 박사（서울기술연구원）",등록,2021-12-15,2024-02-01,10-2021-0179684,10-2634331,2041-12-15
P202107001-KR0,한글로 표현된 숫자 표현 추출,한글로 표현된 숫자 표현 추출 방법 및 시스템,AI,자연어처리,Aibril Chatbot,KR,N,,등록,2021-10-05,2023-09-19,10-2021-0131424,10-2581823,2041-10-05
P202102001-KR0,Blockchain 기반 가명정보 유통에 따른 투명한 수익분배 모델,블록체인 기반 가명정보 유통에 따른 수익분배 방법 및 시스템,Blockchain,Blockchain,Data Traceability Service,KR,N,,등록,2021-04-20,2022-09-23,10-2021-0050836,10-2448332,2041-04-20
P202012001-US0,문서 데이터에서 질병 관련 인자들 간의 관계를 추출하는 방법 및 이를 이용하여 구축되는 시스템,"Method for Identifying Association between Disease-related Factors from Document Data, and System Constructed Using Same",AI,자연어처리,iCLUE&ASK,US,Y,스탠다임,등록,2021-07-19,2025-09-16,"18/020,829","12,417,849",2041-07-19
P202012001-KR0,문서 데이터에서 질병 관련 인자들 간의 관계를 추출하는 방법 및 이를 이용하여 구축되는 시스템,문서 데이터에서 질병 관련 인자들 간의 관계를 추출하는 방법 및 이를 이용하여 구축되는 시스템,AI,자연어처리,iCLUE&ASK,KR,Y,스탠다임,등록,2020-12-16,2021-03-23,10-2020-0176766,10-2233464,2040-12-16
P202011001-KR0,"자연어 처리 엔진을 위한 블록 기반 시나리오 봇빌더, 서버 및 컴퓨터 프로그램",멀티 자연어 처리 엔진 기반의 챗봇 시나리오 시스템,AI,자연어처리,Aibril,KR,N,,등록,2021-07-05,2024-09-30,10-2021-0087601,10-2713723,2041-07-05
P202006002-KR0,Blockchain 기반 E-Book Platform,블록체인 플랫폼 기반의 콘텐츠 암호키를 이용한 디지털 콘텐츠 거래 방법,Blockchain,Blockchain,,KR,N,,등록,2020-08-27,2022-07-29,10-2020-0108235,10-2428601,2040-08-27
P202003001-KR0,모바일 원격제어를 기술기반의 모바일 서비스 관제 방법 및 시스템,모바일 원격제어 기술 기반의 모바일 서비스 관제 방법 및 시스템,통신,단말 원격제어,mTworks,KR,N,,등록,2020-08-28,2022-03-04,10-2020-0108998,10-2372556,2040-08-28
P202001002-KR0,,블록체인 상의 스마트 계약을 이용한 사용자 키 관리 방법,Blockchain,Blockchain,,KR,N,,등록,2020-04-23,2022-04-01,10-2020-0049324,10-2383492,2040-04-23
P201911011-KR0,딥러닝 기반 한국어 문서 요약 기술 및 질문 자동 생성 기술 확보,딥러닝 기반 문서 요약 생성 방법 및 시스템,AI,자연어처리,aibril NLU+,KR,N,,등록,2020-04-08,2022-12-07,10-2020-0042790,10-2476492,2040-04-08
P201911006-KR0,Digital SHE 산업특화모델（안전고리）,디지털 안전보건환경 산업 특화용 이미지 학습 모델을 이용한 안전관리 방법 및 시스템,AI,Vision AI,Aiden VAS,KR,N,,등록,2020-01-29,2022-07-29,10-2020-0010192,10-2428613,2040-01-29
P201909001-KR0,AR（Augumented Reality） 기반의 비계 검증 솔루션（가칭）,AR 기반의 비계 검증 방법 및 시스템,제조,AR,,KR,Y,SK인천석유화학,등록,2019-11-08,2021-03-25,10-2019-0142501,10-2234217,2039-11-08
P201906001-KR0,,함체 내에 패키지화된 데이터 수집 전송 장치,제조,제조공정,DACAR Project,KR,N,,등록,2019-08-30,2021-06-22,10-2019-0107378,10-2270064,2039-08-30
P201811003-KR0,,키워드와 관계 정보 이용한 정보 검색 시스템 및 방법,AI,비정형 논문 검색,"3A, AKS, ICLUE-TDMD",KR,N,,등록,2018-12-27,2020-10-20,10-2018-0170165,10-2170206,2038-12-27
P201811002-KR0,,블록체인 코인 기반의 상품권 서비스 시스템 및 방법,Blockchain,Blockchain,MainNet,KR,N,,등록,2019-01-04,2020-06-10,10-2019-0001099,10-2123754,2039-01-04
P201809001-US0,설명 가능한 인공지능 모델링 및 시뮬레이션 시스템 및 방법,EXPLAINABLE ARTIFICIAL INTELLIGENCE MODELING AND SIMULATION SYSTEM AND METHOD,AI,eXplainable AI,,US,N,,등록,2021-07-01,2024-07-09,"17/420,237","12,032,469",2041-07-01
P201809001-KR0,비전 A.I 운영 시뮬레이션 체계,설명 가능한 인공지능 모델링 및 시뮬레이션 시스템 및 방법,AI,eXplainable AI,,KR,N,,등록,2019-01-04,2020-07-31,10-2019-0000998,10-2142205,2039-01-04
P201808001-KR0,사용자 기준 프로그램 다운로드 및 설치 방법,사용자 ID와 로그인 일자를 기준으로 한 프로그램 다운로드 및 설치 방법,통신,사내시스템,,KR,N,,등록,2018-12-06,2020-12-08,10-2018-0155800,10-2191016,2038-12-06
P201807001-KR0,홈쇼핑 방송중인 상품의 대화형 인공지능 전화주문（신세계TV쇼핑）,인공지능 대화형 홈쇼핑（T Commerce） 전화 주문 시스템,AI,인지,AI Voice Chat,KR,Y,유베이스,등록,2019-01-04,2021-01-29,10-2019-0001092,10-2212093,2039-01-04
P201804001-KR0,밀폐공간 유해 가스 감지기의 내/외부 온도 변화에 따른 측정값 보정 기능,가스 감지기의 센서 검정 방법,제조,위험감지,,KR,N,,등록,2018-12-14,2020-12-11,10-2018-0161591,10-2192655,2038-12-14
P201709003-KR1,Layout 효율성 평가지표 및 자동평가시스템,스마트 팩토리 레이아웃 효율성 평가 방법 및 시스템,제조,Smart Factory,,KR,Y,연세대학교 산학협력단,등록,2017-12-08,2019-07-18,10-2017-0168360,10-2003616,2037-12-08
P201709003-KR0,Layout 설계 방법론,스마트 팩토리 레이아웃 설계 방법 및 시스템,제조,Smart Factory,,KR,Y,연세대학교 산학협력단,등록,2017-12-08,2019-11-01,10-2017-0168335,10-2042318,2037-12-08
P201707002-KR0,모바일 원격 제어 기술을 활용한 모바일테스트 서비스,모바일 단말 원격제어 시스템을 활용한 IoT 서비스 애플리케이션 테스트 방법 및 시스템,통신,단말 원격제어,mTworks,KR,N,,등록,2017-09-28,2019-11-06,10-2017-0125840,10-2044068,2037-09-28
P201704002-US0,블록체인 기반 one ID 서비스 시스템 및 방법,BLOCKCHAIN-BASED ONE ID SERVICE SYSTEM AND METHOD,Blockchain,Blockchain,,US,N,,등록,2018-08-20,2022-10-25,"16/638,959","11,483,303",2038-08-20
P201704002-KR0,블록체인 기반 Digital One ID 서비스,블록체인 기반 one ID 서비스 시스템 및 방법,Blockchain,Blockchain,,KR,N,,등록,2017-08-23,2019-08-22,10-2017-0106439,10-2015700,2037-08-23
P201704001-US0,실제 반도체 제조물을 복제한 가상 반도체 제조물 제공 방법 및 시스템,METHOD AND SYSTEM FOR PROVIDING VIRTUAL SEMICONDUCTOR PRODUCT REPLICATING REAL SEMICONDUCTOR PRODUCT,제조,반도체공정,,US,N,,등록,2017-09-14,2019-10-08,"15/704,064","10,437,947",2037-09-14
P201704001-TW0,METHOD AND SYSTEM FOR PROVIDING VIRTUAL SEMICONDUCTOR PRODUCT REPLICATING REAL SEMICONDUCTOR PRODUCT실제 반도체 제조물을 복제한 가상 반도체 제조물 제공 방법 및 시스템,提供複製實際半導體產品的虛擬半導體產品的方法和系統,제조,반도체공정,,TW,N,,등록,2017-09-19,2019-08-21,106132082,I669767,2037-09-18
P201704001-KR0,Digital Twin In Semiconductor,실제 반도체 제조물을 복제한 가상 반도체 제조물 제공 방법 및 시스템,제조,반도체공정,,KR,N,,등록,2017-06-12,2019-03-12,10-2017-0073022,10-1959627,2037-06-12
P201702001-US0,USAT 메뉴와 망시간을 이용한 USAT 타입의 USIM OTP/USIM OTP 서비스,METHOD AND SYSTEM FOR CONTROLLING LOT RISK SCORE BASED DYNAMIC LOT MEASUREMENT ON BASIS OF EQUIPMENT RELIABILITY INDEX,제조,반도체공정,,US,N,,등록,2018-05-25,2023-10-10,"16/622,097","11,782,432",2038-07-17
P201702001-KR0,,장비신뢰지수에 기초한 Lot 리스크 스코어 기반의 동적 Lot 계측 제어방법 및 시스템,제조,반도체공정,,KR,N,,등록,2017-06-14,2019-06-25,10-2017-0074579,10-1995112,2037-06-14
P201702001-JP0,장비신뢰지수에 기초한 Lot 리스크 스코어 기반의 동적 Lot 계측 제어방법 및 시스템,装備信頼指数に基づいたロット（Ｌｏｔ）リスクスコア基盤の動的ロット計測制御方法及びシステム,제조,반도체공정,,JP,N,,등록,2019-11-28,2021-09-21,2019-565924,6947850,2029-11-28
P201702001-CN0,장비신뢰지수에 기초한 Lot 리스크 스코어 기반의 동적 Lot 계측 제어방법 및 시스템,用于基于设备可靠性指数控制基于批次风险分数的动态批次测量的方法和系统,제조,반도체공정,,CN,N,,등록,2018-05-25,2023-06-16,201880038342.9,CN 110770661 B,2038-05-25
P201611005-KR0,,반도체 결함 시각화 방법 및 시스템,제조,반도체공정,,KR,Y,서울대학교 산학협력단,등록,2017-02-23,2019-03-12,10-2017-0024064,10-1959619,2037-02-23
P201609002-US0,,MACHINE LEARNING-BASED SEMICONDUCTOR MANUFACTURING YIELD PREDICTION SYSTEM AND METHOD,제조,반도체공정,,US,N,,등록,2017-11-29,2022-11-08,"16/347,985","11,494,636",2037-11-29
P201603002-KR0,,AB 테스팅 기반 서비스 제공 방법 및 시스템,통신,AB Testing,,KR,N,,등록,2016-06-15,2017-09-26,10-2016-0074452,10-1784105,2036-06-15
P201603001-US0,,METHOD AND SYSTEM FOR SENSING FINE CHANGES IN PROCESSING/EQUIPMENT MEASUREMENT DATA,제조,반도체공정,,US,N,,등록,2017-08-07,2021-05-25,"16/328,778","11,016,467",2037-08-07
P201603001-KR1,,계측-수율 상관성 분석 방법 및 시스템,제조,반도체공정,,KR,N,,등록,2016-08-11,2019-10-21,10-2016-0102112,10-2036956,2036-08-11
P201603001-KR0,,공정/장비 계측 데이터의 미세 변동 감지 방법 및 시스템,제조,반도체공정,,KR,N,,등록,2016-08-30,2018-01-24,10-2016-0110422,10-1823420,2036-08-30
P201603001-JP0,공정/장비 계측 데이터의 미세 변동 감지 방법 및 시스템,装備の計測データの微細変動検知方法及びシステム,제조,반도체공정,,JP,N,,등록,2017-08-07,2020-09-02,2019-505448,6757846,2037-08-07
P201603001-CN0,,用于感测工艺/设备测量数据的细小变化的方法和系统,제조,반도체공정,,CN,N,,등록,2017-08-07,2022-10-14,201780067437.9,109891454,2037-08-07
P201602002-KR0,,IT 서비스 구축 사업의 리스크 관리 방법 및 시스템,기존사업,사내시스템,,KR,N,,등록,2016-05-20,2018-05-24,10-2016-0061883,10-1862919,2036-05-20
P201512001-KR0,,"온라인 신분증 확인, 안면 인증 및 음성 인증을 활용한 생체정보 등록 방법 및 시스템",통신,인증,WAU,KR,N,,등록,2016-03-08,2017-06-20,10-2016-0027584,10-1751175,2036-03-08
P201510006-KR0,,IT 서비스 구축 사업의 공수 추정 방법 및 시스템,기존사업,사내시스템,,KR,N,,등록,2015-12-30,2017-07-24,10-2015-0189563,10-1763043,2035-12-30
P201510004-KR0,,웹 브라우저에서의 그리드 렌더링 방법 및 이를 적용한 컴퓨터 시스템,솔루션,솔루션,Alopex,KR,N,,등록,2016-07-05,2018-06-01,10-2016-0084648,10-1866033,2036-07-05
P201510001-KR0,,얼굴 인식과 얼굴 모션 패턴 인식을 통한 개인 인증 방법 및 장치,기존사업,인증,WAU,KR,N,,등록,2015-11-27,2017-11-02,10-2015-0167062,10-1795556,2035-11-27
P201509006-KR0,,증강현실형 HMD를 활용한 독서/학습 보조 시스템 및 방법,기존사업,AR,,KR,N,,등록,2015-12-02,2017-01-09,10-2015-0170554,10-1696558,2035-12-02
P201509004-KR0,,IT 서비스 건전성 자동 진단 방법 및 시스템,통신,장애관리,,KR,N,,등록,2015-12-16,2017-07-06,10-2015-0179958,10-1757558,2035-12-16
P201508004-KR0,,모바일 단말 원격 제어 시스템을 활용한 고객 상담 방법 및 시스템,통신,단말 원격제어,mTworks,KR,N,,등록,2015-11-26,2019-02-25,10-2015-0166143,10-1953947,2035-11-26
P201508001-KR0,,이동 통신사 데이터 서비스를 활용한 마케팅 방법 및 마케팅 지원 시스템,통신,이동통신서비스,,KR,N,,등록,2015-12-31,2017-08-03,10-2015-0190789,10-1766983,2035-12-31
P201507005-KR1,,임계값 자동 설정에 의한 시스템 자동 모니터링 방법 및 이를 적용한 모니터링 시스템,솔루션,솔루션,,KR,N,,등록,2015-09-15,2017-10-23,10-2015-0130140,10-1791021,2035-09-15
P201507005-KR0,,엔터프라이즈 비즈니스 서비스 레벨의 통합 모니터링 방법 및 시스템,솔루션,솔루션,,KR,N,,등록,2015-09-15,2017-05-16,10-2015-0130138,10-1738770,2035-09-15
P201507002-KR0,,모바일 단말 원격 제어 시스템을 활용한 로밍 서비스 테스트 방법 및 시스템,통신,단말 원격제어,B2C 쇼핑몰 체험센터,KR,N,,등록,2015-08-31,2017-03-14,10-2015-0122622,10-1718232,2035-08-31
P201507001-KR0,,모바일 단말 원격 제어 시스템을 활용한 온라인 교육/회의 방법 및 시스템,통신,단말 원격제어,상담사 모바일 교육체험 서비스,KR,N,,등록,2015-08-28,2016-08-26,10-2015-0121524,10-1653501,2035-08-28
P201506004-KR0,,모바일 단말 원격 체험 시스템을 활용한 온라인 모바일 단말 판매 방법 및 시스템,통신,단말 원격제어,,KR,N,,등록,2015-08-31,2017-01-20,10-2015-0122619,10-1700525,2035-08-31
P201502001-KR0,"이동식 비콘（Beacon）과 모바일 앱을 활용한 위치 파악, 경로 추적 서비스 및 관제시스템",모바일 비콘과 모바일 애플리케이션을 활용한 위치 추적 방법 및 시스템,통신,LBS,,KR,N,,등록,2015-04-23,2017-07-06,10-2015-0057153,10-1757529,2035-04-23
P201501001-KR0,목소리 인증 신규 비즈니스 모델,목소리 특징 정보를 이용한 본인 인증 의뢰 및 대행 방법,통신,인증,,KR,N,,등록,2016-06-23,2017-01-24,10-2016-0078522,10-1701676,2036-06-23
P201412001-US0,장비별 발생 이벤트의 시간 흐름에 따른 복합 상황 판단 방법 및 시스템,METHOD AND SYSTEM FOR DETERMINING COMPLEX SITUATION ACCORDING TO TIME FLOW OF EVENTS OCCURRING IN EACH DEVICE,솔루션,솔루션,Watz Eye 솔루션,US,N,,등록,2017-08-11,2020-05-19,"15/550,596","10,657,384",2037-08-11
P201412001-UAE0,METHOD AND SYSTEM FOR DETERMINING COMPLEX SITUATION ACCORDING TO TIME FLOW OF EVENTS OCCURRING IN EACH DEVICE 장비별 발생 이벤트의 시간 흐름에 따른 복합 상황 판단 방법 및 시스템,طريقة ونظام لتحديد موقف معقد وفقا للتدفق الزمني للأحداث التي تحدث في كل جهاز,솔루션,솔루션,Watz Eye 솔루션,UAE,N,,등록,2017-09-14,2023-07-11,P6001166/2017,5782,2037-09-14
P201412001-KR0,상황발생 이벤트에 대한 복합알람처리,장비별 발생 이벤트의 시간 흐름에 따른 복합 상황 판단 방법 및 시스템,솔루션,솔루션,Watz Eye 솔루션,KR,N,,등록,2015-03-16,2017-01-13,10-2015-0035890,10-1698265,2035-03-16
P201401003-KR0,TMS 솔루션 사업화 Biz Process,현재 도로 상황과 과거 이동 정보에 기반한 배송 계획 수립 방법 및 시스템,통합서비스,물류,,KR,N,,등록,2014-03-14,2015-11-25,10-2014-0030229,10-1573349,2034-03-14
